Merchant Id, Avg Ticket Size ,Merchant Name,Company Name,Integration type,Governorate,Sales Mcc,Sales Agent,Sales Head,Dam Name,Dam Head,Merchant Id  1,Card Present Premium,Card Present Premium6,Card Present Premium2030,In Store Forsa Psp,In Store Forsa Agg,In Store Get Go,In Store Shahry New,In Store Souhoolav2 Psp,In Store Souhoolav3 Psp,Onlive Souhoolav2 Psp,Online Souhoolav3 Psp,In Store Souhoolav2 Agg,In Store Souhoolav3 Agg,Onlive Souhoolav2 Agg,Online Souhoolav3 Agg,In Store Sympl,In Store Valu Psp,Online Forsa,Online Get Go,Online Premium,Online Shahry,Online Sympl,Online Valu Agg,Valu Online Valu Agg,Online Valu Psp,Valu Online Valu Psp,Aman V2 Psp,Aman V2 Agg,Khazna Agg,Khazna Psp,Valu Sympl,Total Amount
157881," 88,393 ",B. ONE Optics,Saadharby,Online,Giza,بصريات,Mohamed_Lotfy,muhamed_ezzeldin,mohamed_kamel,ahmed_abass,"51,049"," 1,625,667.00 "," 1,486,817.00 "," 318,045.00 "," 1,291,853.00 "," 1,957,888.00 "," 635,874.00 "," 1,911,283.00 "," 1,542,632.00 "," 1,448,518.00 "," 251,771.00 "," 1,690,966.00 "," 1,466,679.00 "," 183,037.00 "," 967,378.00 "," 630,237.00 "," 142,751.00 "," 757,230.00 "," 1,448,749.00 "," 363,621.00 "," 1,084,333.00 "," 1,233,120.00 "," 349,142.00 "," 1,795,976.00 "," 342,929.00 "," 1,582,099.00 "," 363,935.00 "," 1,978,264.00 "," 1,549,147.00 "," 1,634,419.00 "," 1,396,676.00 "," 188,362.00 "," 33,619,398.00 "
214161," 38,053 ",LEVENT,Adel_Zaytoon,Online,Giza,احذية,tarek_abozekry,muhamed_ezzeldin,mohamed_ezz,muhamed_ezzeldin,"6,487"," 975,987.00 "," 1,208,666.00 "," 535,757.00 "," 1,545,415.00 "," 1,602,552.00 "," 1,652,600.00 "," 78,602.00 "," 1,540,175.00 "," 1,823,529.00 "," 1,074,172.00 "," 118,817.00 "," 815,351.00 "," 1,081,106.00 "," 564,134.00 "," 269,498.00 "," 1,833,388.00 "," 78,323.00 "," 355,390.00 "," 349,769.00 "," 246,253.00 "," 1,464,972.00 "," 313,608.00 "," 1,057,952.00 "," 785,187.00 "," 1,045,957.00 "," 854,139.00 "," 1,345,199.00 "," 554,369.00 "," 803,285.00 "," 636,153.00 "," 1,125,474.00 "," 27,735,779.00 "
247880," 119,999 ",4baby,4baby,POS,Cairo,ملابس,Saleh_Farid,mohamed_gamal,donia_emad,mohamed_gamal,"24,634"," 1,228,824.00 "," 657,514.00 "," 297,593.00 "," 254,547.00 "," 595,932.00 "," 1,122,700.00 "," 986,302.00 "," 1,943,560.00 "," 1,492,801.00 "," 1,373,013.00 "," 1,400,792.00 "," 1,339,640.00 "," 767,799.00 "," 1,014,669.00 "," 1,884,434.00 "," 930,904.00 "," 874,481.00 "," 639,156.00 "," 664,861.00 "," 637,553.00 "," 94,530.00 "," 655,828.00 "," 826,373.00 "," 1,287,074.00 "," 1,482,030.00 "," 88,641.00 "," 121,862.00 "," 69,243.00 "," 1,225,749.00 "," 1,346,047.00 "," 469,601.00 "," 27,774,053.00 "
155383," 172,549 ",Asfour Crystal,Asfour_Crystal,POS,Giza,ملابس,Sales_Enablement, others,Mtarek,mohamed_elayah,"22,089"," 1,034,048.00 "," 1,307,330.00 "," 290,064.00 "," 674,215.00 "," 1,593,033.00 "," 1,579,030.00 "," 1,733,856.00 "," 234,799.00 "," 435,317.00 "," 1,916,294.00 "," 1,936,149.00 "," 1,931,261.00 "," 280,487.00 "," 1,228,350.00 "," 11,241.00 "," 1,260,252.00 "," 1,603,839.00 "," 1,838,828.00 "," 728,606.00 "," 1,632,788.00 "," 1,326,890.00 "," 984,730.00 "," 415,022.00 "," 880,485.00 "," 1,078,595.00 "," 1,956,540.00 "," 363,058.00 "," 914,027.00 "," 1,826,525.00 "," 40,640.00 "," 661,013.00 "," 33,697,312.00 "
129135," 114,575 ",Shawarmagy Restaurant,01100757000,Online,Cairo,مطاعم و كافتريات,amr_anwar,mohamed_gamal,not_assigned, others,"811,947"," 1,027,755.00 "," 804,482.00 "," 1,838,195.00 "," 443,527.00 "," 166,945.00 "," 244,947.00 "," 1,173,216.00 "," 373,444.00 "," 1,606,714.00 "," 751,872.00 "," 636,785.00 "," 1,656,861.00 "," 1,536,121.00 "," 492,685.00 "," 558,783.00 "," 625,365.00 "," 1,326,189.00 "," 496,983.00 "," 560,019.00 "," 1,482,630.00 "," 1,503,277.00 "," 584,656.00 "," 826,668.00 "," 1,709,798.00 "," 838,817.00 "," 545,589.00 "," 1,420,702.00 "," 965,345.00 "," 1,524,413.00 "," 260,521.00 "," 192,289.00 "," 28,175,593.00 "
139274," 192,447 ",El-Badran,Badran02,POS,Giza,اطارات و بطاريات وقطع غيار,maged_adel,ahmed_abass,abdelrahmangamal,ahmed_abass,"212,535"," 326,425.00 "," 1,330,309.00 "," 1,308,217.00 "," 32,992.00 "," 483,515.00 "," 1,556,248.00 "," 1,416,757.00 "," 945,358.00 "," 1,350,996.00 "," 900,800.00 "," 135,356.00 "," 54,945.00 "," 328,847.00 "," 262,467.00 "," 1,574,100.00 "," 380,187.00 "," 1,587,470.00 "," 807,711.00 "," 1,715,447.00 "," 1,029,802.00 "," 985,185.00 "," 548,032.00 "," 605,542.00 "," 811,386.00 "," 94,496.00 "," 1,448,756.00 "," 1,456,663.00 "," 424,922.00 "," 1,623,941.00 "," 934,679.00 "," 1,947,344.00 "," 28,408,895.00 "
127698," 65,151 ",Elshirbeny,Elshirbeny,Online,Giza,سوبر ماركت /  هايبرماركت,k_dorgham,mohamed_gamal,Mohamed_zakzok,mohamed_gamal,"541,076"," 1,330,010.00 "," 1,175,403.00 "," 637,617.00 "," 1,222,083.00 "," 627,835.00 "," 325,951.00 "," 1,683,432.00 "," 938,860.00 "," 383,303.00 "," 1,786,186.00 "," 315,182.00 "," 826,637.00 "," 1,722,382.00 "," 914,502.00 "," 291,792.00 "," 670,632.00 "," 1,366,961.00 "," 1,902,219.00 "," 1,096,174.00 "," 1,904,760.00 "," 177,880.00 "," 67,868.00 "," 1,790,918.00 "," 1,709,255.00 "," 1,536,586.00 "," 669,267.00 "," 65,922.00 "," 367,311.00 "," 1,649,341.00 "," 1,358,598.00 "," 1,528,451.00 "," 32,043,318.00 "
62107," 203,368 ",Slient,Ahmedyaseeer,Online,Giza,موبايل,Mohamed_Hemy,mohamed_gamal,mohamed_bassiony,mohamed_gamal,"117,416"," 1,457,798.00 "," 1,346,033.00 "," 44,347.00 "," 1,985,012.00 "," 195,320.00 "," 439,830.00 "," 1,389,734.00 "," 1,187,510.00 "," 299,357.00 "," 1,354,714.00 "," 686,710.00 "," 1,369,953.00 "," 493,381.00 "," 1,921,817.00 "," 1,236,315.00 "," 894,559.00 "," 1,278,336.00 "," 1,531,125.00 "," 337,442.00 "," 963,772.00 "," 240,465.00 "," 466,116.00 "," 452,005.00 "," 1,768,048.00 "," 635,322.00 "," 1,845,438.00 "," 1,198,040.00 "," 542,958.00 "," 758,095.00 "," 1,516,568.00 "," 1,050,537.00 "," 30,886,657.00 "
152416," 53,970 ",clinica Dental Care,Clinica92,POS,Giza,طبي (مستشفيات و عيادات ومعامل),ahmed_abass,ahmed_abass,hazemshalash,ahmed_abass,"129,714"," 540,630.00 "," 1,501,351.00 "," 1,071,315.00 "," 1,779,444.00 "," 1,061,708.00 "," 767,099.00 "," 785,085.00 "," 1,613,918.00 "," 64,236.00 "," 151,878.00 "," 1,784,046.00 "," 1,529,575.00 "," 1,967,603.00 "," 1,922,289.00 "," 1,831,564.00 "," 1,314,504.00 "," 586,895.00 "," 1,526,502.00 "," 1,581,185.00 "," 1,673,484.00 "," 1,492,299.00 "," 243,286.00 "," 283,689.00 "," 1,622,088.00 "," 581,874.00 "," 44,494.00 "," 723,064.00 "," 1,789,009.00 "," 204,282.00 "," 1,445,604.00 "," 1,290,464.00 "," 34,774,464.00 "
194502," 100,247 ",الايمان للخضروات و الفاكهه,mmm11,POS,Giza,سوبر ماركت /  هايبرماركت,mina_tharwat,ahmed_abass,omar_ouda,ahmed_abass,"110,885"," 328,778.00 "," 1,066,959.00 "," 495,200.00 "," 1,662,499.00 "," 993,614.00 "," 1,989,917.00 "," 218,771.00 "," 13,098.00 "," 708,467.00 "," 1,690,146.00 "," 1,135,885.00 "," 1,611,227.00 "," 1,386,367.00 "," 130,110.00 "," 1,245,027.00 "," 444,925.00 "," 1,637,671.00 "," 1,688,746.00 "," 954,045.00 "," 1,183,785.00 "," 767,354.00 "," 26,647.00 "," 482,541.00 "," 577,952.00 "," 88,911.00 "," 1,691,929.00 "," 1,848,049.00 "," 912,645.00 "," 335,228.00 "," 351,645.00 "," 108,123.00 "," 27,776,261.00 "
45176," 40,174 ",Moon Bell,Mahmoud711,POS,Cairo,ملابس,Zeinab_Saeed,telesales(Ezz),Zeinab_Saeed,telesales(Ezz),"158,776"," 1,261,032.00 "," 1,379,945.00 "," 1,628,240.00 "," 985,328.00 "," 507,346.00 "," 811,295.00 "," 1,621,821.00 "," 1,815,029.00 "," 1,266,005.00 "," 796,714.00 "," 4,704.00 "," 1,495,625.00 "," 483,305.00 "," 1,909,387.00 "," 1,547,076.00 "," 1,098,923.00 "," 818,675.00 "," 854,693.00 "," 909,931.00 "," 1,051,295.00 "," 838,266.00 "," 253,440.00 "," 1,418,749.00 "," 467,012.00 "," 1,430,506.00 "," 54,473.00 "," 77,077.00 "," 303,832.00 "," 1,930,695.00 "," 1,457,910.00 "," 1,675,982.00 "," 32,154,311.00 "
169353," 51,239 ",BIC,BIC,Online,Giza,تعليمي,Sales_Enablement, others,hashim_ibrahim,mohamed_elayah,"736,888"," 945,040.00 "," 176,030.00 "," 265,824.00 "," 1,103,899.00 "," 174,265.00 "," 720,337.00 "," 882,776.00 "," 1,823,452.00 "," 179,410.00 "," 592,612.00 "," 445,306.00 "," 1,439,631.00 "," 483,863.00 "," 1,069,389.00 "," 1,266,442.00 "," 1,923,503.00 "," 683,609.00 "," 1,892,824.00 "," 1,472,923.00 "," 765,271.00 "," 431,482.00 "," 1,703,450.00 "," 623,018.00 "," 324,170.00 "," 636,423.00 "," 779,001.00 "," 499,558.00 "," 936,007.00 "," 1,248,922.00 "," 1,695,110.00 "," 1,044,588.00 "," 28,228,135.00 "
